product_id,brand_name,manufacturer,price_inr,is_discontinued,dosage_form,pack_size,pack_unit,num_active_ingredients,primary_ingredient,primary_strength,active_ingredients,therapeutic_class,packaging_raw,manufacturer_raw,primary_strength_numeric,IQR_outlier,Isolation_Forest_outlier,LOF_outlier,ABOD_outlier,CBLOF_outlier,PyOD_IForest_outlier,number_of_methods_flagging_outlier
200242,Slvrgen Cream,Bharat Biotech,707.0,False,cream,30.0,tube,2,Recombinant Human Epidermal Growth Factor,,"[{'name': 'Recombinant Human Epidermal Growth Factor', 'strength': None, 'full_description': 'Recombinant Human Epidermal Growth Factor (10mcg)'}, {'name': 'Chlorhexidine Gluconate', 'strength': None, 'full_description': 'Chlorhexidine Gluconate (0.2% w/w)'}]",other,tube of 30 gm Cream,Bharat Biotech,,1,1,1,1,1,1,6
108340,Iviglob EX 2.5gm Infusion,Vhb Life Sciences Inc,9990.0,False,solution,50.0,bottle,1,Human Normal Immunoglobulin,2.5gm,"[{'name': 'Human Normal Immunoglobulin', 'strength': '2.5gm', 'full_description': 'Human Normal Immunoglobulin (2.5gm)'}]",other,bottle of 50 ml Solution for Infusion,Vhb Life Sciences Inc,2.5,1,1,1,1,1,1,6
237083,Volitek Advance Instant Pain Relief Spray (55gm Each),Meditek Lifesciences Pvt. Ltd.,300.0,False,other,,,1,Diclofenac,,"[{'name': 'Diclofenac', 'strength': None, 'full_description': 'Diclofenac (1.16% w/w)'}]",analgesic,combo pack of 2 bottles,Meditek Lifesciences Pvt. Ltd.,,1,1,1,1,1,1,6
137004,Myolax Gel,Novostart Life Science,84.96,False,gel,,,2,Diclofenac,,"[{'name': 'Diclofenac', 'strength': None, 'full_description': 'Diclofenac (1% w/w)'}, {'name': 'Linseed Oil', 'strength': None, 'full_description': 'Linseed Oil (3% w/w)'}]",analgesic,tube of 1 Gel,Novostart Life Science,,1,1,1,1,1,1,6
236550,Viro 4 Kit,Emcure Pharmaceuticals Ltd,828.5,False,other,,,2,Tenofovir disoproxil fumarate,300mg,"[{'name': 'Tenofovir disoproxil fumarate', 'strength': '300mg', 'full_description': 'Tenofovir disoproxil fumarate (300mg)'}, {'name': 'Lamivudine', 'strength': '300mg', 'full_description': 'Lamivudine (300mg)'}]",other,packet of 1 Kit,Emcure Pharmaceuticals Ltd,300.0,1,1,1,1,1,1,6
72662,Estrabet 0.06% Gel,Abbott,966.3,False,gel,80.0,tube,1,Estradiol,,"[{'name': 'Estradiol', 'strength': None, 'full_description': 'Estradiol (0.06% w/w)'}]",other,tube of 80 gm Vaginal gel,Abbott,,1,1,1,1,1,1,6
161857,Ostospray,Sun Pharmaceutical Industries Ltd,1385.0,False,solution,7.0,ml,1,Calcitonin,,"[{'name': 'Calcitonin', 'strength': None, 'full_description': 'Calcitonin (Salmon) (200IU)'}]",other,bottle of 3.7 ml Nasal Solution,Sun Pharmaceutical Industries Ltd,,1,1,1,1,1,1,6
98278,Genericart Olmesartan Medoxomil+Amlodipine+Hydrochlorothiazide 40mg/5mg/12.5mg Tablet,Swast Aushadhi Seva Generic Medicine Store,205.0,False,tablet,10.0,strip,2,Olmesartan Medoxomil,40mg,"[{'name': 'Olmesartan Medoxomil', 'strength': '40mg', 'full_description': 'Olmesartan Medoxomil (40mg)'}, {'name': 'Amlodipine', 'strength': '5mg', 'full_description': 'Amlodipine (5mg)'}]",antihypertensive,strip of 10 tablets,Swast Aushadhi Seva Generic Medicine Store,40.0,1,1,1,1,1,1,6
218538,Trimoliv DS Oral Suspension Sugar Free,Allegiant Biotech,203.0,False,suspension,200.0,bottle,2,Silymarin,70mg/10ml,"[{'name': 'Silymarin', 'strength': '70mg/10ml', 'full_description': 'Silymarin (70mg/10ml)'}, {'name': 'Tricholine Citrate', 'strength': '210mg/10ml', 'full_description': 'Tricholine Citrate (210mg/10ml)'}]",other,bottle of 200 ml Oral Suspension,Allegiant Biotech,7010.0,1,1,1,1,1,1,6
218932,Trazumab 440mg Solution for Infusion,Emcure Pharmaceuticals Ltd,52584.48,False,solution,,,1,Trastuzumab,440mg,"[{'name': 'Trastuzumab', 'strength': '440mg', 'full_description': 'Trastuzumab (440mg)'}]",other,vial of 1 Solution for Infusion,Emcure Pharmaceuticals Ltd,440.0,1,1,1,1,1,1,6
