iter	Passed	Remaining
0	156	156580
1	176	88263
2	196	65295
3	215	53619
4	234	46595
5	256	42464
6	276	39252
7	290	36073
8	310	34171
9	329	32624
10	353	31763
11	372	30663
12	391	29749
13	407	28665
14	434	28550
15	464	28556
16	477	27628
17	487	26600
18	507	26213
19	537	26319
20	567	26434
21	599	26652
22	614	26096
23	635	25837
24	654	25522
25	666	24952
26	692	24944
27	715	24844
28	733	24544
29	752	24314
30	766	23948
31	784	23735
32	795	23314
33	808	22984
34	822	22677
35	836	22399
36	852	22180
37	869	22022
38	893	22018
39	911	21876
40	938	21955
41	959	21885
42	967	21542
43	994	21609
44	1015	21545
45	1044	21653
46	1065	21602
47	1086	21543
48	1101	21375
49	1124	21360
50	1142	21254
51	1154	21054
52	1173	20959
53	1189	20835
54	1208	20760
55	1229	20731
56	1246	20616
57	1260	20464
58	1277	20373
59	1297	20320
60	1312	20200
61	1330	20129
62	1351	20102
63	1378	20153
64	1398	20116
65	1419	20085
66	1441	20066
67	1474	20210
68	1494	20167
69	1508	20043
70	1523	19931
71	1540	19853
72	1554	19741
73	1569	19643
74	1578	19464
75	1604	19501
76	1621	19437
77	1641	19403
78	1657	19328
79	1674	19261
80	1694	19220
81	1715	19204
82	1730	19124
83	1748	19066
84	1766	19020
85	1788	19010
86	1808	18975
87	1823	18896
88	1840	18842
89	1858	18792
90	1869	18676
91	1886	18619
92	1920	18725
93	1942	18726
94	1957	18649
95	1990	18741
96	2011	18723
97	2035	18735
98	2051	18672
99	2074	18666
100	2108	18771
101	2124	18705
102	2141	18653
103	2162	18634
104	2185	18625
105	2206	18609
106	2217	18508
107	2246	18553
108	2283	18668
109	2300	18609
110	2309	18498
111	2319	18392
112	2344	18401
113	2369	18415
114	2393	18417
115	2416	18413
116	2439	18413
117	2452	18332
118	2466	18257
119	2483	18215
120	2498	18152
121	2523	18162
122	2541	18119
123	2550	18018
124	2564	17950
125	2577	17875
126	2591	17812
127	2608	17770
128	2630	17760
129	2650	17738
130	2662	17659
131	2673	17581
132	2693	17560
133	2721	17586
134	2740	17559
135	2758	17524
136	2780	17514
137	2801	17498
138	2818	17457
139	2835	17419
