iter	Passed	Remaining
0	149	149718
1	165	82578
2	190	63416
3	213	53214
4	231	46033
5	252	41788
6	274	38939
7	294	36493
8	317	34911
9	342	33870
10	376	33832
11	405	33348
12	425	32319
13	449	31685
14	471	30973
15	497	30565
16	521	30128
17	544	29714
18	561	28989
19	583	28586
20	604	28161
21	621	27613
22	638	27102
23	665	27055
24	684	26681
25	701	26292
26	724	26095
27	750	26058
28	772	25877
29	788	25504
30	804	25135
31	827	25033
32	853	24999
33	873	24820
34	900	24828
35	921	24670
36	942	24538
37	965	24436
38	986	24302
39	1012	24305
40	1038	24294
41	1061	24209
42	1084	24134
43	1113	24183
44	1141	24231
45	1160	24068
46	1183	24007
47	1208	23974
48	1234	23962
49	1256	23879
50	1290	24016
51	1315	23977
52	1332	23810
53	1353	23716
54	1374	23614
55	1395	23526
56	1415	23418
57	1432	23267
58	1452	23173
59	1485	23269
60	1505	23168
61	1530	23161
62	1550	23057
63	1571	22986
64	1594	22934
65	1607	22751
66	1624	22622
67	1643	22520
68	1666	22481
69	1698	22568
70	1720	22516
71	1741	22450
72	1779	22597
73	1808	22635
74	1836	22647
75	1854	22546
76	1878	22518
77	1902	22488
78	1925	22443
79	1959	22531
80	1989	22571
81	2016	22575
82	2036	22499
83	2060	22464
84	2086	22465
85	2108	22403
86	2128	22338
87	2150	22291
88	2171	22230
89	2191	22160
90	2214	22119
91	2240	22112
92	2262	22064
93	2295	22126
94	2316	22066
95	2339	22027
96	2362	21992
97	2377	21886
98	2404	21881
99	2423	21811
100	2452	21828
101	2484	21876
102	2512	21884
103	2541	21897
104	2581	22005
105	2621	22110
106	2647	22095
107	2672	22074
108	2691	22001
109	2704	21878
110	2728	21854
111	2755	21845
112	2771	21753
113	2788	21673
114	2811	21640
115	2829	21565
116	2849	21508
117	2872	21472
118	2896	21446
119	2923	21440
120	2942	21379
121	2967	21358
122	2983	21271
123	3005	21233
124	3029	21203
125	3057	21211
126	3092	21256
127	3117	21240
128	3137	21187
129	3160	21148
130	3179	21091
131	3199	21042
132	3222	21006
133	3241	20945
134	3259	20886
135	3287	20883
136	3307	20833
137	3327	20786
138	3349	20748
139	3376	20738
140	3399	20708
141	3422	20680
142	3443	20639
143	3461	20579
144	3482	20536
145	3493	20432
146	3513	20385
147	3531	20328
148	3555	20309
149	3585	20319
150	3613	20317
151	3640	20309
152	3658	20254
153	3678	20206
154	3696	20149
155	3710	20077
156	3727	20016
157	3746	19963
158	3764	19909
159	3780	19849
160	3800	19805
161	3820	19764
162	3840	19722
163	3858	19667
164	3888	19680
165	3910	19647
166	3926	19585
167	3949	19560
168	3965	19499
169	3993	19498
