,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
fixed acidity,0.4893142151969888,-0.11050273795859238,0.4893142151969888,0.11050273795859238
volatile acidity,-0.23858436259729657,0.27493048046507684,0.23858436259729657,0.27493048046507684
citric acid,0.46363165633495945,-0.15179135552456047,0.46363165633495945,0.15179135552456047
residual sugar,0.14610715358556936,0.27208023847178875,0.14610715358556936,0.27208023847178875
chlorides,0.21224658194703183,0.14805155528681654,0.21224658194703183,0.14805155528681654
free sulfur dioxide,-0.03615752441040836,0.5135668118526769,0.03615752441040836,0.5135668118526769
total sulfur dioxide,0.023574853564112836,0.5694869591039718,0.023574853564112836,0.5694869591039718
density,0.39535300876845575,0.23357548987382992,0.39535300876845575,0.23357548987382992
pH,-0.4385196240653104,0.006710792677070614,0.4385196240653104,0.006710792677070614
sulphates,0.24292133094797108,-0.03755391603758455,0.24292133094797108,0.03755391603758455
alcohol,-0.11323206499477247,-0.3861809593562063,0.11323206499477247,0.3861809593562063
