Dim1,Dim2,tumor_class
-1.7296938,11.864953,PRAD
7.870362,-4.290753,LUAD
-0.7085441,12.997684,PRAD
-0.76162326,13.081286,PRAD
5.540169,3.9535725,BRCA
-1.5794059,12.544953,PRAD
18.555141,17.312437,KIRC
-1.9407078,12.513405,PRAD
10.249735,4.155096,BRCA
-1.1571176,13.388179,PRAD
6.8841686,3.002411,BRCA
19.40269,17.367422,KIRC
-1.8289676,13.132891,PRAD
8.490161,2.5221634,BRCA
5.5317354,4.512235,BRCA
5.468166,3.5866604,BRCA
8.315302,-3.7206378,LUAD
19.816294,17.576836,KIRC
19.172777,18.356628,KIRC
-0.8860222,13.558284,PRAD
4.591391,3.1485248,BRCA
18.343447,18.134089,KIRC
8.618635,-4.208553,LUAD
5.2604203,4.4265227,BRCA
20.338943,18.17047,KIRC
9.143391,-3.671749,LUAD
3.8523076,-7.59104,COAD
5.261822,4.7720833,BRCA
10.252216,3.9565485,BRCA
10.520887,3.8910503,BRCA
6.0544033,4.9132943,BRCA
4.591349,3.1987963,BRCA
18.721773,17.975163,KIRC
8.350493,2.3979688,BRCA
-1.7443227,12.70703,PRAD
5.675282,4.232722,BRCA
19.940826,18.120445,KIRC
9.054025,-3.7062895,LUAD
7.3389416,2.8438268,BRCA
8.285806,2.4741974,BRCA
20.198124,17.811344,KIRC
-1.5088297,12.837242,PRAD
-1.4612238,13.3239,PRAD
19.394995,17.58448,KIRC
19.515377,17.243893,KIRC
5.9488444,4.3905873,BRCA
-1.8720778,12.179599,PRAD
3.4785743,-7.1539264,COAD
6.336061,4.5144095,BRCA
9.470538,-4.6588817,LUAD
4.983404,4.222087,BRCA
9.189278,-4.811578,LUAD
10.206834,3.7022083,BRCA
-0.99236923,12.860422,PRAD
3.423032,-7.736225,COAD
9.918739,3.5917995,BRCA
4.8777757,4.212226,BRCA
4.1926017,-7.387355,COAD
19.243633,17.630032,KIRC
5.7731323,3.0197475,BRCA
7.857586,-4.416951,LUAD
18.565744,18.903536,KIRC
5.488745,2.6861956,BRCA
8.950757,-4.7074704,LUAD
-0.7215002,13.980723,PRAD
3.9791706,-7.6919913,COAD
6.6515527,2.5688682,BRCA
-0.75202465,13.6116495,PRAD
19.770372,18.541256,KIRC
9.844765,3.667676,BRCA
19.39174,17.370268,KIRC
6.9724107,2.5364883,BRCA
7.198996,2.5128133,BRCA
8.918044,-4.7923946,LUAD
10.496007,4.02404,BRCA
8.157481,-3.826885,LUAD
5.9607453,3.1518936,BRCA
18.427877,17.231936,KIRC
-1.5141368,13.552419,PRAD
3.7060466,-7.565377,COAD
6.1333375,4.3205748,BRCA
-0.7773391,13.463341,PRAD
5.094113,3.5504763,BRCA
5.0223,4.4176316,BRCA
-1.7286961,11.978017,PRAD
-1.7907779,12.858682,PRAD
6.0223346,4.5641804,BRCA
5.8479624,3.828798,BRCA
19.379473,17.388035,KIRC
10.254416,3.9098368,BRCA
-1.2651024,12.823768,PRAD
-1.0609914,12.536117,PRAD
6.1157103,2.595146,BRCA
8.418773,2.460382,BRCA
5.0667696,4.032998,BRCA
-0.95260596,13.183067,PRAD
3.3343692,-7.679536,COAD
4.8294454,3.9188716,BRCA
-1.5732653,14.05728,PRAD
6.929591,3.4868743,BRCA
5.942788,4.855911,BRCA
20.345547,17.781057,KIRC
5.9084363,3.548429,BRCA
19.460987,17.975151,KIRC
9.4529915,-4.680498,LUAD
20.21909,17.701818,KIRC
8.490127,-4.4114113,LUAD
3.8349364,-7.691376,COAD
7.483092,-4.4281225,LUAD
9.34826,-4.3273187,LUAD
-1.7471075,11.820329,PRAD
5.85675,3.429264,BRCA
8.045689,-4.1049256,LUAD
-1.4605932,13.0086975,PRAD
6.0447392,3.7420611,BRCA
20.092194,18.413757,KIRC
18.945925,18.4579,KIRC
19.767391,18.121746,KIRC
5.129615,3.7947328,BRCA
5.9697566,4.358936,BRCA
8.457009,-4.3489356,LUAD
19.04392,18.323069,KIRC
9.529648,-4.6567492,LUAD
5.899449,5.1511717,BRCA
-1.6238753,13.447086,PRAD
-1.8423674,12.426119,PRAD
-1.7994523,12.714661,PRAD
4.9996667,3.9027395,BRCA
19.660828,17.339014,KIRC
10.304072,3.7325625,LUAD
3.9156826,-7.651838,COAD
10.222741,3.893451,BRCA
3.3727136,-7.67805,COAD
7.134787,3.7055988,BRCA
6.061016,4.976954,BRCA
19.537834,18.5743,KIRC
8.31385,-3.8760204,LUAD
6.333333,3.7903512,BRCA
18.472517,17.722221,KIRC
3.5422182,-7.8596673,COAD
6.034224,3.5771346,BRCA
-0.8497156,13.238542,PRAD
5.6167955,3.2426114,BRCA
18.327541,17.956806,KIRC
8.429035,-3.9260287,LUAD
3.635561,-6.866288,COAD
-1.9070543,12.279463,PRAD
5.997487,3.7061598,BRCA
9.21678,-4.607612,LUAD
9.035756,-4.4848285,LUAD
8.081841,-4.1960416,LUAD
8.439203,-4.949775,LUAD
5.1315274,3.7856379,BRCA
5.761341,4.3892083,BRCA
8.012355,-3.962692,LUAD
6.483333,3.3341188,BRCA
4.5938864,3.1432986,BRCA
-0.8519872,13.471872,PRAD
-1.7753527,12.375179,PRAD
9.086118,-3.5960176,LUAD
-1.767266,11.892062,PRAD
9.101851,-3.8225555,LUAD
19.766165,18.49817,KIRC
7.030052,2.5278609,BRCA
-1.0249385,12.732264,PRAD
8.18411,-4.2613773,LUAD
3.7189653,-6.727103,COAD
19.18981,17.012075,KIRC
8.8184185,-4.4088063,LUAD
5.049844,3.0270596,BRCA
18.52702,17.724995,KIRC
9.47634,-4.383629,LUAD
5.676716,4.678528,BRCA
9.492328,-4.7448997,LUAD
6.044318,3.1920273,BRCA
7.740402,2.6703515,BRCA
7.0932007,2.9701054,BRCA
-1.6087837,12.563942,PRAD
6.575912,3.2983043,BRCA
19.98221,17.68082,KIRC
3.530708,-7.6895742,COAD
18.652695,17.706955,KIRC
5.909063,3.294856,BRCA
-2.0062106,12.918002,PRAD
-0.59801215,13.455692,PRAD
-1.9884942,13.094037,PRAD
9.399296,-4.6346545,LUAD
8.173477,-4.032322,LUAD
6.776868,4.1325164,BRCA
8.521452,-4.507607,LUAD
9.743226,-4.3838325,LUAD
18.638256,18.139587,KIRC
9.0035715,-4.789203,LUAD
-0.9064149,14.082875,PRAD
9.406265,-4.134586,LUAD
5.825366,2.5766778,BRCA
8.427813,2.4891694,BRCA
5.3585687,4.4840064,BRCA
7.386453,-4.5284605,LUAD
8.463069,-3.429807,LUAD
5.816152,2.7308018,BRCA
20.293325,18.095633,KIRC
20.312725,17.990911,KIRC
18.827623,17.608976,KIRC
18.970367,18.3707,KIRC
-0.70709884,14.025468,PRAD
8.395422,2.54069,BRCA
-0.7746626,13.008772,PRAD
6.920307,3.6246727,BRCA
8.475537,-3.797684,LUAD
7.7362075,-4.1027126,LUAD
6.7198663,3.7589865,BRCA
-0.891269,13.658685,PRAD
5.7973795,5.0513544,BRCA
-1.6877542,12.476492,PRAD
6.3350687,3.1251085,BRCA
5.7167335,4.6260014,BRCA
6.2041717,3.562091,BRCA
8.423075,-3.5720193,LUAD
6.5908885,3.236866,BRCA
19.61465,18.65105,KIRC
8.365891,-3.6888437,LUAD
20.003843,18.435278,KIRC
19.958344,18.34819,KIRC
8.278231,-4.017125,LUAD
5.341099,2.7659993,BRCA
20.14919,18.02092,KIRC
-1.0687045,13.0645895,PRAD
5.962096,2.8641658,BRCA
7.9227443,-4.00462,LUAD
9.2224245,-4.717541,LUAD
-0.6634464,13.961686,PRAD
3.6685479,-6.798865,COAD
8.477717,2.4526656,BRCA
19.91869,18.299925,KIRC
-2.0656002,13.069054,PRAD
18.476198,17.896685,KIRC
4.0735283,-7.5073433,COAD
9.928614,3.8046577,BRCA
19.684856,17.477848,KIRC
19.233997,18.16894,KIRC
8.313371,-4.600532,LUAD
-1.3837627,12.57259,PRAD
-2.0836966,12.952395,PRAD
9.075285,-3.7104886,LUAD
9.519759,-4.566076,LUAD
19.54083,18.45016,KIRC
6.672787,3.215996,BRCA
10.222624,4.0814586,BRCA
3.8067656,-6.594007,COAD
10.487857,3.9165041,BRCA
-0.9029682,12.545701,PRAD
4.2698727,-6.717227,COAD
6.6960964,2.6698737,BRCA
-0.92701197,13.443197,PRAD
19.841621,18.675077,KIRC
-1.8122165,11.875808,PRAD
-1.1303554,13.898839,PRAD
-1.6019917,13.147113,PRAD
5.421411,3.198674,BRCA
4.187071,-7.330652,COAD
3.8522315,-7.759972,COAD
8.097895,-4.1598396,LUAD
4.0088167,-6.869453,COAD
3.7446134,-7.819279,COAD
-0.67573094,13.396171,PRAD
9.833388,-4.3553505,LUAD
10.406842,3.7748742,BRCA
6.013204,2.840332,BRCA
18.81488,18.259287,KIRC
19.390985,17.204031,KIRC
5.819498,4.942585,BRCA
3.4289074,-7.779473,COAD
-1.7830491,11.805054,PRAD
19.029898,17.043133,KIRC
-1.7562275,12.918729,PRAD
6.480023,3.7853699,BRCA
5.8753805,4.5179877,BRCA
19.691925,18.142626,KIRC
4.752171,4.122817,BRCA
10.403195,4.0154033,BRCA
10.143464,3.6229045,BRCA
8.45616,2.4441173,BRCA
9.049083,-4.718605,LUAD
8.537664,-4.849371,LUAD
5.5709434,3.3464196,BRCA
5.715399,3.0051827,BRCA
6.657077,3.8104177,BRCA
18.877043,18.834364,KIRC
19.693195,17.44978,KIRC
18.95083,18.49865,KIRC
20.13079,17.568583,KIRC
8.337193,2.4496477,BRCA
6.3965487,3.7323284,BRCA
5.3109636,4.184496,BRCA
19.606634,18.531279,KIRC
5.210203,3.4406664,BRCA
5.4227324,3.1179743,BRCA
7.8963337,-4.3627834,LUAD
-1.3485336,13.288599,PRAD
7.1528883,2.5126317,BRCA
5.595701,3.1072092,BRCA
3.587982,-7.815369,COAD
8.212604,-3.702856,LUAD
-1.3903185,12.333263,PRAD
4.9476857,3.141417,BRCA
5.568591,4.3891554,BRCA
6.638425,3.6427183,BRCA
3.4461198,-7.6736846,COAD
7.297861,2.789948,BRCA
-1.5560138,14.005009,PRAD
5.643832,3.3123841,BRCA
3.8218634,-6.5982304,COAD
9.477651,-4.8190293,LUAD
7.425164,-4.4956894,LUAD
-1.1709545,13.196136,PRAD
20.114235,17.682673,KIRC
7.440582,2.8181324,BRCA
19.179672,17.091665,KIRC
19.297743,17.332676,KIRC
9.759159,4.283018,LUAD
4.172171,-7.4784718,COAD
18.889837,18.91103,KIRC
4.8531117,3.1508572,BRCA
4.965384,3.8883607,BRCA
10.409751,3.966218,BRCA
9.875369,4.338636,BRCA
19.513275,17.138287,KIRC
6.056565,3.9866123,BRCA
5.522119,3.8015802,BRCA
-0.9644104,13.015614,PRAD
10.047693,3.8817968,BRCA
20.319635,17.833767,KIRC
6.329364,3.5822923,BRCA
8.191197,-3.6666522,LUAD
-1.1472273,13.448344,PRAD
18.90867,18.893875,KIRC
6.2062416,4.764135,BRCA
-1.4239855,12.4997635,PRAD
3.606987,-7.8946753,COAD
7.006122,2.4711883,BRCA
6.524535,2.8107476,BRCA
6.2188506,4.777371,BRCA
7.9328384,-4.271169,LUAD
8.221733,-4.875109,LUAD
8.348541,-3.8853195,LUAD
6.1885104,4.168558,BRCA
6.601379,3.7803214,BRCA
-1.5792755,12.302733,PRAD
8.895014,-4.780898,LUAD
5.168089,3.4578044,BRCA
19.039312,18.428236,KIRC
6.1469035,4.408519,BRCA
3.9429004,-7.6298003,COAD
4.1912475,-6.707784,COAD
8.436166,-4.7815394,LUAD
5.3401227,4.7722154,BRCA
19.93978,18.5774,KIRC
5.1405973,4.2692704,BRCA
6.3095326,4.266638,BRCA
6.8947697,4.0337415,BRCA
3.4391716,-7.5125403,COAD
8.598821,-3.4234185,LUAD
4.0278244,-6.852058,COAD
18.914803,18.819998,KIRC
-1.406474,12.587974,PRAD
19.93484,17.807467,KIRC
7.192262,3.4984443,BRCA
5.7562447,3.327464,BRCA
20.089863,18.404425,KIRC
10.244879,4.1584682,BRCA
3.4548295,-7.674682,COAD
-1.2183261,12.807282,PRAD
8.315326,-4.8616896,LUAD
-0.95376897,12.652443,PRAD
8.369646,2.4517446,BRCA
18.974636,17.94643,KIRC
-0.6073291,13.692376,PRAD
6.3535004,3.77588,BRCA
3.715397,-7.3136344,COAD
18.988293,18.00351,KIRC
19.04252,17.044537,KIRC
3.8892536,-7.6845293,COAD
3.5076296,-7.2268567,COAD
-1.5632929,12.292345,PRAD
5.4562807,4.545863,BRCA
8.42437,2.5399334,BRCA
4.0843315,-7.644551,COAD
19.246283,18.709116,KIRC
9.249451,3.2982423,BRCA
-1.7833927,12.544819,PRAD
10.001956,3.6037908,BRCA
5.7484,4.7301364,BRCA
5.727899,4.3368535,BRCA
9.206526,-3.8201678,LUAD
8.132551,-4.1242166,LUAD
20.489899,18.253809,KIRC
8.296702,-3.9546418,LUAD
10.087127,4.2546716,BRCA
18.669336,18.222628,KIRC
3.6252534,-7.834018,COAD
-0.75171995,14.014868,PRAD
6.1875114,4.720563,BRCA
8.5925455,-4.566864,LUAD
-1.1623037,13.365749,PRAD
7.3188443,2.6936886,BRCA
9.763876,3.4705226,BRCA
5.1531157,3.4320683,BRCA
8.956323,-4.788338,LUAD
5.06453,4.181024,BRCA
10.037245,3.6477242,BRCA
-1.8428956,12.365017,PRAD
6.555358,3.6994631,BRCA
-1.2670499,12.889067,PRAD
4.091922,-7.305652,COAD
5.1225176,4.188273,BRCA
9.452742,-4.656361,LUAD
5.992264,4.7666655,BRCA
10.338067,3.7835588,BRCA
8.323226,-4.018776,LUAD
5.950039,3.9515162,BRCA
6.4288917,3.3975458,BRCA
4.8778024,3.126316,BRCA
19.393862,18.284319,KIRC
8.928853,-3.949735,LUAD
-1.45066,14.135079,PRAD
6.132217,4.559744,BRCA
-1.4194802,13.041007,PRAD
18.7523,17.140606,KIRC
7.5479608,2.885585,BRCA
19.7493,18.713867,KIRC
3.4931078,-7.348134,COAD
5.636964,4.2361426,BRCA
-0.96241784,13.480874,PRAD
8.260676,-4.4155536,LUAD
19.817171,17.799631,KIRC
5.952096,4.97747,BRCA
6.8634653,3.7790062,BRCA
18.909708,17.155525,KIRC
6.8104367,4.1344204,BRCA
8.321811,-4.1422744,LUAD
9.895096,3.6124878,BRCA
10.165879,3.8138294,BRCA
-0.7897724,13.515171,PRAD
