Dim1,Dim2,tumor_class
-4.328258,17.692236,PRAD
-15.050906,-7.1417603,LUAD
-9.176503,27.727623,PRAD
-7.6118717,23.982605,PRAD
9.748,-7.9060144,BRCA
-10.229124,17.359772,PRAD
17.68812,18.39916,KIRC
-7.973177,16.466442,PRAD
-0.46167764,-14.439097,BRCA
-6.5829897,26.307064,PRAD
4.97173,-4.6689706,BRCA
27.268995,18.162195,KIRC
-10.719533,19.813385,PRAD
1.4684322,1.4764493,BRCA
12.229919,-5.8238506,BRCA
8.026317,-9.297655,BRCA
-14.556178,-3.650966,LUAD
25.58893,18.910812,KIRC
22.999325,21.455519,KIRC
-10.049874,24.774637,PRAD
8.633394,-17.68561,BRCA
19.401314,22.129793,KIRC
-11.148615,-1.8742636,LUAD
12.141638,-4.756053,BRCA
24.687632,15.560041,KIRC
-14.940081,-0.77925277,LUAD
-29.188625,-18.450068,COAD
9.066399,-5.6960287,BRCA
-3.6287045,-15.072149,BRCA
-3.278705,-16.04505,BRCA
14.137539,-12.596022,BRCA
8.391419,-16.307432,BRCA
21.932632,18.894394,KIRC
0.8628645,0.21154298,BRCA
-7.397739,19.996864,PRAD
13.060711,-13.534536,BRCA
27.471764,21.935265,KIRC
-13.506616,1.0452464,LUAD
4.2789364,-1.8971651,BRCA
0.39687636,0.11032012,BRCA
25.313747,17.811121,KIRC
-8.0369425,20.583242,PRAD
-10.635063,21.0626,PRAD
27.859188,20.422707,KIRC
27.57147,18.845858,KIRC
10.027636,-14.069465,BRCA
-7.098561,16.271296,PRAD
-27.772778,-21.197863,COAD
10.357203,-13.776589,BRCA
-20.486204,-2.7200127,LUAD
11.865355,-10.25182,BRCA
-19.443026,-1.3280073,LUAD
-2.2938554,-10.873454,BRCA
-6.7122183,23.162292,PRAD
-29.932383,-21.343058,COAD
-2.4772515,-9.4166155,BRCA
12.508889,-8.034941,BRCA
-28.360655,-17.714281,COAD
27.965897,20.543957,KIRC
6.7004,-7.9032726,BRCA
-15.517479,-7.8270054,LUAD
15.259185,13.244187,KIRC
5.9737372,-10.778889,BRCA
-17.986313,-1.1343664,LUAD
-10.24929,25.501839,PRAD
-28.927607,-18.771358,COAD
2.9366338,-6.3949747,BRCA
-8.521941,25.70629,PRAD
24.403263,21.805777,KIRC
-3.2033699,-10.621645,BRCA
27.689814,16.515703,KIRC
3.024656,-4.4348445,BRCA
2.821513,-3.400305,BRCA
-18.146772,-1.6935319,LUAD
-1.4519932,-14.857376,BRCA
