Dim1,Dim2,tumor_class
4.9355836,16.677502,PRAD
4.7471223,-7.9626527,LUAD
5.187656,15.008541,PRAD
4.978445,15.55039,PRAD
-6.531145,4.5824857,BRCA
5.6590805,16.064205,PRAD
11.7684765,0.7909492,KIRC
5.6403193,16.332506,PRAD
-4.071145,4.1347528,BRCA
4.916659,15.29522,PRAD
-5.74418,3.477462,BRCA
11.927533,0.0582135,KIRC
5.8023047,15.782005,PRAD
-5.4113784,2.1017551,BRCA
-6.8068504,4.252071,BRCA
-5.9947605,4.6867642,BRCA
4.7531056,-8.54409,LUAD
12.421379,-0.059724055,KIRC
12.683315,0.7304887,KIRC
5.197159,15.137583,PRAD
-5.9001493,5.770041,BRCA
12.452829,1.0333151,KIRC
4.794298,-8.380181,LUAD
-6.7616334,3.8160923,BRCA
13.168284,0.016195923,KIRC
4.697106,-9.304209,LUAD
2.2566187,-4.107376,COAD
-5.9954853,4.402646,BRCA
-3.852301,3.9683478,BRCA
-4.2370024,4.141474,BRCA
-7.0241933,4.967524,BRCA
-6.00324,5.606915,BRCA
12.46679,0.65647775,KIRC
-5.3379297,2.2976482,BRCA
5.3852105,15.920082,PRAD
-6.766139,4.827155,BRCA
12.720721,0.27639762,KIRC
4.6926565,-9.226514,LUAD
-5.94805,2.9768214,BRCA
-5.36438,2.2735868,BRCA
12.740502,-0.07729877,KIRC
5.116683,16.058903,PRAD
5.7469845,15.637532,PRAD
12.196905,0.21921271,KIRC
12.020928,-0.10079653,KIRC
-6.596028,5.1876955,BRCA
5.4337425,16.513817,PRAD
1.8327107,-4.220866,COAD
-6.613367,5.236772,BRCA
3.7739909,-8.803672,LUAD
-6.707628,4.8014402,BRCA
3.7200582,-8.979366,LUAD
-4.1932745,3.7652056,BRCA
4.8132453,15.684637,PRAD
1.6884338,-3.945335,COAD
-4.261976,3.5263917,BRCA
-7.055315,4.2473173,BRCA
2.4405143,-4.1427026,COAD
12.054935,0.28919947,KIRC
-5.8921704,4.230559,BRCA
4.83521,-7.808089,LUAD
12.141537,0.5787114,KIRC
-5.5032487,5.3096204,BRCA
3.980722,-8.593935,LUAD
5.060138,14.859682,PRAD
2.2173567,-4.0901785,COAD
-5.382635,3.6804996,BRCA
4.9672685,14.9824,PRAD
12.919059,0.5738187,KIRC
-4.3857203,3.5025957,BRCA
12.117059,-0.014119136,KIRC
-5.5791664,3.1090822,BRCA
-5.6063266,2.9522977,BRCA
3.909215,-8.475507,LUAD
-4.0051455,4.109513,BRCA
4.719248,-8.095031,LUAD
-5.993211,4.1334195,BRCA
11.529205,0.85875475,KIRC
5.173263,15.536114,PRAD
2.0830433,-4.1904173,COAD
-6.584842,5.090343,BRCA
5.04944,15.13733,PRAD
-5.7098145,4.631994,BRCA
-6.605918,4.7141204,BRCA
5.098508,16.556416,PRAD
5.4035587,16.034363,PRAD
-7.0186915,4.8593817,BRCA
-6.3813057,3.4108381,BRCA
12.088785,0.15264031,KIRC
-3.8976233,3.8295734,BRCA
4.947362,15.831516,PRAD
4.804546,15.948995,PRAD
-5.272418,4.488605,BRCA
-5.37865,2.231461,BRCA
-6.7226014,4.5734186,BRCA
4.9699183,15.549075,PRAD
1.8241783,-3.9386482,COAD
-6.9680195,4.461725,BRCA
5.8677487,14.984938,PRAD
-5.67253,3.6240482,BRCA
-6.7086935,4.1419344,BRCA
13.052697,-0.19329666,KIRC
-5.9021845,4.899216,BRCA
12.908301,0.31689116,KIRC
3.825068,-8.827458,LUAD
12.5666065,-0.17428905,KIRC
4.3998613,-8.33609,LUAD
2.4410405,-4.224216,COAD
4.94588,-7.713441,LUAD
4.3555274,-8.449987,LUAD
4.8874345,16.688442,PRAD
-6.09356,4.9222317,BRCA
4.5929317,-8.589753,LUAD
5.3124204,15.582291,PRAD
-6.0187335,4.7044334,BRCA
13.457101,0.14979218,KIRC
