episode,dqn_reward,dqn_smoothed_reward,dqn_epsilon,ddqn_reward,ddqn_smoothed_reward,ddqn_epsilon
0,8.0,8.0,1.0,24.0,24.0,1.0
1,22.0,15.0,0.992,9.0,16.5,0.992
2,17.0,15.666666666666666,0.9840639999999999,15.0,16.0,0.9840639999999999
3,30.0,19.25,0.976191488,21.0,17.25,0.976191488
4,15.0,18.4,0.968381956096,17.0,17.2,0.968381956096
5,21.0,18.833333333333332,0.960634900447232,26.0,18.666666666666668,0.960634900447232
6,11.0,17.714285714285715,0.9529498212436541,24.0,19.428571428571427,0.9529498212436541
7,37.0,20.125,0.9453262226737049,10.0,18.25,0.9453262226737049
8,13.0,19.333333333333332,0.9377636128923152,22.0,18.666666666666668,0.9377636128923152
9,16.0,19.0,0.9302615039891767,14.0,18.2,0.9302615039891767
10,22.0,19.272727272727273,0.9228194119572632,19.0,18.272727272727273,0.9228194119572632
11,11.0,18.583333333333332,0.9154368566616051,12.0,17.75,0.9154368566616051
12,14.0,18.23076923076923,0.9081133618083123,14.0,17.46153846153846,0.9081133618083123
13,16.0,18.071428571428573,0.9008484549138458,18.0,17.5,0.9008484549138458
14,23.0,18.4,0.893641667274535,27.0,18.133333333333333,0.893641667274535
15,10.0,17.875,0.8864925339363388,35.0,19.1875,0.8864925339363388
16,12.0,17.529411764705884,0.879400593664848,13.0,18.823529411764707,0.879400593664848
17,12.0,17.22222222222222,0.8723653889155293,53.0,20.72222222222222,0.8723653889155293
18,22.0,17.473684210526315,0.865386465804205,12.0,20.263157894736842,0.865386465804205
19,21.0,17.65,0.8584633740777714,63.0,22.4,0.8584633740777714
20,34.0,18.428571428571427,0.8515956670851492,11.0,21.857142857142858,0.8515956670851492
21,22.0,18.59090909090909,0.8447829017484679,15.0,21.545454545454547,0.8447829017484679
22,33.0,19.217391304347824,0.8380246385344802,12.0,21.130434782608695,0.8380246385344802
23,15.0,19.041666666666668,0.8313204414262044,11.0,20.708333333333332,0.8313204414262044
24,24.0,19.24,0.8246698778947947,37.0,21.36,0.8246698778947947
25,27.0,19.53846153846154,0.8180725188716363,12.0,21.0,0.8180725188716363
26,14.0,19.333333333333332,0.8115279387206633,24.0,21.11111111111111,0.8115279387206633
27,33.0,19.821428571428573,0.805035715210898,12.0,20.785714285714285,0.805035715210898
28,18.0,19.75862068965517,0.7985954294892108,19.0,20.724137931034484,0.7985954294892108
29,22.0,19.833333333333332,0.792206666053297,17.0,20.6,0.792206666053297
30,15.0,19.677419354838708,0.7858690127248708,17.0,20.483870967741936,0.7858690127248708
31,43.0,20.40625,0.7795820606230718,17.0,20.375,0.7795820606230718
32,23.0,20.484848484848484,0.7733454041380872,12.0,20.12121212121212,0.7733454041380872
33,15.0,20.323529411764707,0.7671586409049824,16.0,20.0,0.7671586409049824
34,19.0,20.285714285714285,0.7610213717777425,17.0,19.914285714285715,0.7610213717777425
35,28.0,20.5,0.7549332008035207,11.0,19.666666666666668,0.7549332008035207
36,11.0,20.243243243243242,0.7488937351970925,29.0,19.91891891891892,0.7488937351970925
37,17.0,20.157894736842106,0.7429025853155157,33.0,20.263157894736842,0.7429025853155157
38,17.0,20.076923076923077,0.7369593646329916,9.0,19.974358974358974,0.7369593646329916
39,10.0,19.825,0.7310636897159276,16.0,19.875,0.7310636897159276
40,44.0,20.414634146341463,0.7252151801982002,18.0,19.829268292682926,0.7252151801982002
41,12.0,20.214285714285715,0.7194134587566147,13.0,19.666666666666668,0.7194134587566147
42,25.0,20.325581395348838,0.7136581510865617,16.0,19.58139534883721,0.7136581510865617
43,16.0,20.227272727272727,0.7079488858778692,16.0,19.5,0.7079488858778692
44,10.0,20.0,0.7022852947908462,24.0,19.6,0.7022852947908462
45,45.0,20.543478260869566,0.6966670124325195,31.0,19.847826086956523,0.6966670124325195
46,26.0,20.659574468085108,0.6910936763330593,19.0,19.829787234042552,0.6910936763330593
47,20.0,20.645833333333332,0.6855649269223948,13.0,19.6875,0.6855649269223948
48,14.0,20.510204081632654,0.6800804075070157,13.0,19.551020408163264,0.6800804075070157
49,9.0,20.28,0.6746397642469595,12.0,19.4,0.6746397642469595
50,15.0,20.42,0.6692426461329839,11.0,19.14,0.6692426461329839
51,15.0,20.28,0.6638887049639199,19.0,19.34,0.6638887049639199
